test_id,number_hops,initial_ping_max,initial_ping_min,initial_ping_avg,initial_ping_dev,steady_ping_max,steady_ping_min,steady_ping_avg,steady_ping_dev
18,4,12.497,1.444,4.467,4.234,1.847,0.876,1.501,0.253
18,6,27.615,1.696,10.432,10.54,3.138,1.904,2.578,0.283
18,9,38.188,3.805,17.524,13.462,6.593,2.476,5.318,0.835
18,9,37.224,4.892,15.38,13.265,5.948,3.877,5.244,0.588
19,2,4.063,0.456,1.292,1.387,0.731,0.41,0.613,0.091
19,4,12.271,1.294,4.345,4.206,1.875,0.896,1.411,0.269
19,6,21.244,2.002,8.745,8.069,3.031,1.927,2.575,0.289
19,9,41.468,5.366,18.771,13.959,6.623,2.33,4.953,1.225
19,9,37.899,3.973,15.453,13.071,6.046,2.523,5.055,0.81
20,2,3.528,0.632,1.224,1.152,0.738,0.435,0.593,0.099
20,4,12.629,1.356,4.526,4.287,1.862,0.932,1.452,0.265
20,6,23.491,2.18,9.055,8.657,3.285,1.455,2.594,0.408
20,9,36.857,5.753,17.036,12.304,6.469,2.827,5.046,1.024
20,9,36.332,4.368,15.036,12.403,5.86,2.292,4.844,0.973
