Test ID,Number Hops,Initial Ping (Max),Initial Ping (Min),Initial Ping (Avg),Initial Ping (Dev),Steady Ping (Max),Steady Ping (Min),Steady Ping (Avg),Steady Ping (Dev)
18,4,44.095,2.023,16.903,16.596,25.039,0.935,6.754,7.055
18,6,33.538,2.848,16.172,11.966,20.083,1.677,6.832,4.632
18,9,60.626,4.836,27.281,20.228,100.719,1.775,12.205,14.713
18,9,61.537,7.281,26.626,19.489,30.801,3.11,10.166,7.947
19,2,3.117,0.442,1.052,1.034,0.793,0.366,0.599,0.118
19,4,32.09,3.918,16.471,9.768,28.213,1.259,6.491,6.522
19,6,32.435,3.487,17.804,12.183,32.477,1.676,7.086,7.904
19,9,58.984,7.171,28.268,17.382,22.175,2.161,9.985,6.695
19,9,60.039,6.676,27.011,17.84,29.931,2.925,10.315,7.765
20,2,3.45,0.403,1.09,1.183,0.771,0.364,0.584,0.119
20,4,30.894,3.596,16.132,9.53,21.785,0.915,6.357,6.499
20,6,29.89,3.257,16.495,10.426,844.297,1.958,23.364,117.501
20,9,61.632,5.255,30.725,18.095,35.952,2.901,9.871,10.404
20,9,58.318,4.788,27.603,20.973,35.783,2.277,10.21,8.214
