Test ID,Number Hops,Pass Number,Hypervisor Ping (Max),Hypervisor Ping (Min),Hypervisor Ping (Avg),Hypervisor Ping (Dev),Hypervisor Drops,VM Ping (Max),VM Ping (Min),VM Ping (Avg),VM Ping (Dev),VM Drops
4,6,2,51.343,2.904,13.88,13.233,5,44.144,0.097,13.551,14.799
5,6,1,42.759,2.722,10.589,10.262,0,24.812,0.09,1.624,4.256
5,6,2,41.76,2.404,12.703,12.584,1,50.543,0.1,14.042,15.522
6,6,1,68.326,2.649,15.765,15.77,1,23.942,0.092,1.42,3.756
6,6,2,49.548,3.024,12.07,12.616,1,49.677,0.095,14.381,15.877
7,6,1,117.1,2.615,15.492,18.978,1,27.204,0.094,1.433,3.939
7,6,2,42.654,3.074,12.32,13.283,1,53.104,0.101,15.757,17.622
8,6,1,41.606,3.086,14.422,13.084,1,25.003,0.094,1.647,4.095
8,6,2,50.065,2.811,12.773,12.732,1,43.835,0.097,14.183,15.521
9,6,1,61.536,2.524,15.217,14.523,1,27.619,0.095,1.644,4.259
9,6,2,44.366,2.544,11.374,10.835,1,53.709,0.096,13.052,14.599
10,6,1,51.688,3.615,16.697,15.145,1,35.075,0.088,2.01,5.575
10,6,2,44.04,2.959,14.214,13.284,1,47.852,0.105,13.173,14.31
