test_id,number_hops,pass_number,hv_ping_max,hv_ping_min,hv_ping_avg,hv_ping_dev,hv_drops,vm_ping_max,vm_ping_min,vm_ping_avg,vm_ping_dev,vm_drops
1,2,1,40.408,2.305,12.099,10.232,1,6.563,0.089,0.361,0.751
1,2,2,36.62,2.093,11.272,9.377,1,31.979,0.102,7.659,10.558,0
2,2,1,35.795,2.201,11.318,9.87,1,4.61,0.094,0.325,0.546
2,2,2,39.799,2.124,6.762,7.305,2,29.023,0.099,6.136,8.453,0
3,2,1,46.804,2.469,8.458,9.255,2,0.84,0.094,0.311,0.286
3,2,2,37.567,2.058,8.102,7.904,1,40.772,0.096,6.675,9.643,1
4,2,1,36.331,2.678,11.223,9.88,1,11.21,0.087,0.387,1.243
4,2,2,42.16,3.18,12.12,9.23,1,30.169,0.097,6.632,8.608,0
5,2,1,37.873,2.798,10.83,9.094,1,0.917,0.094,0.312,0.305
5,2,2,44.469,3.149,11.976,11.8,1,31.363,0.098,7.754,10.5,0
6,2,1,46.951,2.243,11.163,10.314,0,3.639,0.086,0.34,0.471
6,2,2,40.172,2.762,8.575,8.747,2,25.485,0.098,6.375,7.733,0
7,2,1,58.041,2.402,12.342,10.699,1,0.815,0.097,0.271,0.25
7,2,2,42.134,1.884,11.121,9.697,1,29.445,0.098,8.482,10.114,0
8,2,1,29.191,2.827,9.833,8.868,1,11.513,0.096,0.515,1.454
8,2,2,38.64,2.78,9.444,8.885,1,38.407,0.098,7.958,11.053,2
9,2,1,38.827,2.642,11.857,9.355,1,0.907,0.093,0.291,0.279
9,2,2,38.808,2.54,7.796,8.55,2,30.285,0.099,7.877,10.706,0
10,2,1,41.751,2.651,11.329,9.94,1,0.874,0.087,0.264,0.242
10,2,2,39.102,2.239,10.084,8.839,1,36.161,0.099,6.453,8.996,0
1,4,1,41.674,2.071,14.585,13.501,1,14.356,0.093,0.699,1.843
1,4,2,46.891,2.538,15.385,13.388,1,40.987,0.094,5.801,10.625,0
2,4,1,53.595,2.608,10.801,11.948,1,25.556,0.09,0.884,3.023
2,4,2,45.836,2.703,15.096,12.236,1,48.556,0.094,13.251,14.718,0
3,4,1,43.594,2.173,7.02,6.784,1,20.304,0.087,0.764,2.448
3,4,2,42.076,2.479,9.664,9.736,2,41.426,0.096,9.441,13.625,0
4,4,1,42.832,1.657,14.527,13.381,1,15.983,0.092,0.764,2.094
4,4,2,39.549,2.02,14.562,12.732,0,41.898,0.098,8.062,9.664,0
5,4,1,43.515,2.085,11.427,12.11,1,14.979,0.095,0.726,1.902
5,4,2,41.566,2.316,16.086,13.414,1,41.339,0.089,10.192,12.238,1
6,4,1,44.939,2.08,12.243,12.85,2,14.91,0.096,0.76,2.265
6,4,2,56.088,3.136,14.325,13.575,2,39.404,0.099,13.855,14.838,0
7,4,1,36.525,2.632,12.639,11.432,1,23.525,0.093,1.009,3.093
7,4,2,55.727,2.681,11.766,13.547,1,35.397,0.096,8.372,12.225,0
8,4,1,41.1,2.04,8.004,9.037,1,15.613,0.093,0.615,1.849
8,4,2,40.988,1.751,7.743,8.766,3,43.32,0.095,11.716,13.95,1
9,4,1,45.271,2.167,14.645,14.317,2,15.026,0.09,0.631,1.729
9,4,2,52.342,2.932,13.547,13.665,1,50.91,0.099,9.397,13.646,0
10,4,1,57.859,2.614,12.743,13.015,1,15.566,0.093,0.658,1.829
10,4,2,48.742,2.29,16.469,13.283,1,59.01,0.097,14.335,15.922,0
1,9,1,57.25,2.066,5.633,6.682,1,32.887,0.101,1.706,4.114
1,9,2,49.048,2.508,11.758,11.582,1,50.164,0.101,11.615,13.486,0
2,9,1,78.101,1.796,8.229,11.97,1,44.819,0.1,1.829,5.962
2,9,2,48.874,3.101,9.161,10.497,1,39.326,0.096,4.039,6.916,0
3,9,1,50.025,1.646,7.131,7.451,0,34.461,0.088,1.668,4.789
3,9,2,48.596,2.969,9.406,10.887,1,42.081,0.096,4.301,6.283,0
4,9,1,67.441,1.965,9.916,13.223,0,37.348,0.095,1.717,5.039
4,9,2,46.867,2.385,13.16,11.941,1,41.912,0.096,11.099,10.706,0
5,9,1,57.225,1.881,5.218,6.599,1,26.361,0.095,1.328,3.272
5,9,2,57.222,2.283,12.444,13.56,1,51.243,0.096,8.063,11.874,0
6,9,1,65.679,2.304,10.611,12.901,1,34.527,0.098,1.376,4.11
6,9,2,59.368,1.78,11.747,13.041,1,40.556,0.096,5.165,7.841,0
7,9,1,53.154,2.423,6.615,8.186,1,41.07,0.094,1.956,5.219
7,9,2,49.608,2.398,7.928,9.645,1,49.335,0.095,14.924,14.809,1
8,9,1,50.522,2.027,7.279,8.841,1,30.471,0.096,1.558,4.078
8,9,2,45.187,2.528,11.677,13.112,1,42.737,0.1,9.703,10.785,0
9,9,1,52.061,1.84,7.443,7.849,1,33.946,0.094,1.677,4.447
9,9,2,50.029,2.007,7.527,8.656,1,41.776,0.102,4.387,5.959,0
10,9,1,42.261,2.572,6.58,7.295,1,38.158,0.095,1.9,5.185
10,9,2,46.475,1.881,10.556,12.234,1,56.659,0.094,11.125,15.221,0
1,6,1,41.978,1.972,6.081,6.071,1,23.366,0.094,1.273,3.164
1,6,2,41.503,2.18,13.301,12.621,1,39.873,0.091,9.999,12.412,0
2,6,1,43.811,2.119,7.587,8.549,1,20.795,0.097,1.113,2.827
2,6,2,37.436,2.3,5.679,4.732,1,44.452,0.096,5.927,8.458,0
3,6,1,34.84,2.181,5.135,4.472,1,32.648,0.101,1.379,4.116
3,6,2,39.641,2.089,6.577,6.614,1,33.208,0.088,3.95,5.591,0
4,6,1,44.785,2.002,6.709,7.961,1,24.488,0.092,1.136,3.12
4,6,2,89.226,1.633,10.478,14.75,1,32.947,0.095,5.677,8.106,0
5,6,1,46.567,2.251,13.057,12.52,2,28.05,0.097,1.331,3.699
5,6,2,43.337,2.137,6.92,6.711,1,39.083,0.091,9.02,10.74,0
6,6,1,42.933,2.456,10.715,10.776,1,21.186,0.094,1.279,3.294
6,6,2,44.219,2.026,5.225,5.656,1,23.984,0.098,5.045,6.342,0
7,6,1,49.741,2.166,5.947,6.589,1,25.866,0.093,1.208,3.336
7,6,2,41.687,2.275,7.832,8.995,1,24.051,0.096,5.636,6.398,0
8,6,1,43.534,1.917,7.979,9.667,1,25.049,0.095,1.197,3.146
8,6,2,42.936,2.649,11.238,12.281,1,37.984,0.089,7.125,10.684,0
9,6,1,43.215,1.831,5.586,5.531,1,24.975,0.095,1.287,3.593
9,6,2,43.402,2.208,7.813,9.156,1,23.909,0.097,3.257,4.141,0
10,6,1,39.893,2.13,7.793,8.947,1,20.383,0.098,1.208,3.05
10,6,2,42.835,2.295,10.414,12.019,1,29.571,0.094,4.641,7.027,0
