test_id,number_hops,initial_ping_max,initial_ping_min,initial_ping_avg,initial_ping_dev,steady_ping_max,steady_ping_min,steady_ping_avg,steady_ping_dev
18,4,44.038,1.117,9.82,17.109,2.083,1.145,1.711,0.28
18,6,68.852,2.36,16.03,26.412,3.202,1.386,2.569,0.546
18,9,118.686,2.42,27.22,45.749,12.02,2.28,5.271,1.3
18,9,113.014,3.528,25.839,43.588,4.734,1.808,3.445,0.95
19,2,16.027,0.44,3.629,6.199,0.723,0.391,0.572,0.105
19,4,43.275,1.438,10.105,16.586,2.146,0.92,1.748,0.35
19,6,72.646,2.629,16.824,27.911,3.23,1.451,2.575,0.485
19,9,109.882,2.274,25.402,42.264,6.303,2.522,4.962,0.873
19,9,108.266,4.095,25.09,41.588,4.65,1.835,3.406,0.915
20,2,16.19,0.433,3.638,6.276,0.725,0.43,0.619,0.088
20,4,47.759,1.067,10.778,18.493,2.17,1.062,1.727,0.342
20,6,66.087,2.707,15.536,25.275,3.524,1.437,2.879,0.423
20,9,116.816,2.275,26.153,45.345,5.908,2.299,4.835,0.915
20,9,113.962,3.373,25.819,44.072,4.657,2.11,3.494,0.726
